,Location Subdivision,Offence Subdivision,Incidents Recorded
139,24 Public Transport,D20 Disorderly and offensive conduct,762.0
140,24 Public Transport,D30 Public nuisance offences,46.0
141,24 Public Transport,E10 Justice procedures,113.0
142,24 Public Transport,E20 Breaches of orders,406.0
143,24 Public Transport,F20 Transport regulation offences,48.0
144,24 Public Transport,F30 Other government regulatory offences,2.0
145,24 Public Transport,F90 Miscellaneous offences,2703.0
146,24 Public Transport,Other crimes against the person,190.0
147,25 Other Transport,A20 Assault and related offences,588.0
148,25 Other Transport,A50 Robbery,66.0
149,25 Other Transport,"A70 Stalking, harassment and threatening behaviour",54.0
150,25 Other Transport,A80 Dangerous and negligent acts endangering people,93.0
151,25 Other Transport,B10 Arson,55.0
152,25 Other Transport,B20 Property damage,1097.0
153,25 Other Transport,B30 Burglary/Break and enter,160.0
154,25 Other Transport,B40 Theft,4354.0
155,25 Other Transport,B50 Deception,219.0
156,25 Other Transport,C10 Drug dealing and trafficking,119.0
157,25 Other Transport,C20 Cultivate or manufacture drugs,49.0
158,25 Other Transport,C30 Drug use and possession,1260.0
159,25 Other Transport,D10 Weapons and explosives offences,373.0
160,25 Other Transport,D20 Disorderly and offensive conduct,162.0
161,25 Other Transport,D30 Public nuisance offences,38.0
162,25 Other Transport,E10 Justice procedures,140.0
163,25 Other Transport,E20 Breaches of orders,609.0
164,25 Other Transport,F20 Transport regulation offences,21.0
165,25 Other Transport,F30 Other government regulatory offences,3.0
166,25 Other Transport,F90 Miscellaneous offences,1680.0
167,25 Other Transport,Other crimes against the person,132.0
168,26 Justice,A20 Assault and related offences,971.0
169,26 Justice,"A70 Stalking, harassment and threatening behaviour",119.0
170,26 Justice,A80 Dangerous and negligent acts endangering people,22.0
171,26 Justice,B10 Arson,24.0
172,26 Justice,B20 Property damage,311.0
173,26 Justice,B30 Burglary/Break and enter,14.0
174,26 Justice,B40 Theft,104.0
175,26 Justice,B50 Deception,64.0
176,26 Justice,B60 Bribery,1.0
177,26 Justice,C10 Drug dealing and trafficking,36.0
178,26 Justice,C20 Cultivate or manufacture drugs,8.0
179,26 Justice,C30 Drug use and possession,496.0
180,26 Justice,D10 Weapons and explosives offences,261.0
181,26 Justice,D20 Disorderly and offensive conduct,109.0
182,26 Justice,D30 Public nuisance offences,40.0
183,26 Justice,D40 Public security offences,1.0
184,26 Justice,E10 Justice procedures,795.0
185,26 Justice,E20 Breaches of orders,3920.0
186,26 Justice,F30 Other government regulatory offences,5.0
187,26 Justice,F90 Miscellaneous offences,70.0
188,26 Justice,Other crimes against the person,69.0
189,27 Open Space,A20 Assault and related offences,857.0
190,27 Open Space,A50 Robbery,210.0
191,27 Open Space,"A70 Stalking, harassment and threatening behaviour",62.0
192,27 Open Space,A80 Dangerous and negligent acts endangering people,62.0
193,27 Open Space,B10 Arson,358.0
194,27 Open Space,B20 Property damage,678.0
195,27 Open Space,B30 Burglary/Break and enter,239.0
196,27 Open Space,B40 Theft,2017.0
197,27 Open Space,B50 Deception,99.0
198,27 Open Space,C10 Drug dealing and trafficking,49.0
199,27 Open Space,C20 Cultivate or manufacture drugs,20.0
200,27 Open Space,C30 Drug use and possession,509.0
201,27 Open Space,D10 Weapons and explosives offences,226.0
202,27 Open Space,D20 Disorderly and offensive conduct,262.0
203,27 Open Space,D30 Public nuisance offences,37.0
204,27 Open Space,E10 Justice procedures,131.0
205,27 Open Space,E20 Breaches of orders,414.0
206,27 Open Space,F10 Regulatory driving offences,1.0
207,27 Open Space,F20 Transport regulation offences,19.0
208,27 Open Space,F30 Other government regulatory offences,14.0
209,27 Open Space,F90 Miscellaneous offences,1037.0
210,27 Open Space,Other crimes against the person,406.0
211,28 Street/footpath,A20 Assault and related offences,4757.0
212,28 Street/footpath,A50 Robbery,762.0
213,28 Street/footpath,"A70 Stalking, harassment and threatening behaviour",460.0
214,28 Street/footpath,A80 Dangerous and negligent acts endangering people,2367.0
215,28 Street/footpath,B10 Arson,378.0
216,28 Street/footpath,B20 Property damage,4520.0
217,28 Street/footpath,B30 Burglary/Break and enter,61.0
218,28 Street/footpath,B40 Theft,24817.0
219,28 Street/footpath,B50 Deception,1776.0
220,28 Street/footpath,C10 Drug dealing and trafficking,1058.0
221,28 Street/footpath,C20 Cultivate or manufacture drugs,337.0
222,28 Street/footpath,C30 Drug use and possession,6004.0
223,28 Street/footpath,D10 Weapons and explosives offences,3819.0
224,28 Street/footpath,D20 Disorderly and offensive conduct,3938.0
225,28 Street/footpath,D30 Public nuisance offences,86.0
226,28 Street/footpath,D40 Public security offences,1.0
227,28 Street/footpath,E10 Justice procedures,5266.0
228,28 Street/footpath,E20 Breaches of orders,5278.0
229,28 Street/footpath,F10 Regulatory driving offences,5.0
230,28 Street/footpath,F20 Transport regulation offences,19.0
231,28 Street/footpath,F30 Other government regulatory offences,31.0
232,28 Street/footpath,F90 Miscellaneous offences,23307.0
233,28 Street/footpath,Other crimes against the person,494.0
234,29 Other community location,A20 Assault and related offences,47.0
235,29 Other community location,A50 Robbery,6.0
236,29 Other community location,"A70 Stalking, harassment and threatening behaviour",11.0
237,29 Other community location,A80 Dangerous and negligent acts endangering people,5.0
238,29 Other community location,B10 Arson,8.0
239,29 Other community location,B20 Property damage,136.0
240,29 Other community location,B30 Burglary/Break and enter,113.0
241,29 Other community location,B40 Theft,187.0
242,29 Other community location,B50 Deception,21.0
243,29 Other community location,C10 Drug dealing and trafficking,6.0
244,29 Other community location,C20 Cultivate or manufacture drugs,2.0
245,29 Other community location,C30 Drug use and possession,25.0
246,29 Other community location,D10 Weapons and explosives offences,20.0
247,29 Other community location,D20 Disorderly and offensive conduct,8.0
248,29 Other community location,D30 Public nuisance offences,5.0
249,29 Other community location,E10 Justice procedures,7.0
250,29 Other community location,E20 Breaches of orders,41.0
251,29 Other community location,F90 Miscellaneous offences,21.0
252,29 Other community location,Other crimes against the person,11.0
253,31 Admin/professional,A20 Assault and related offences,114.0
254,31 Admin/professional,A50 Robbery,2.0
255,31 Admin/professional,"A70 Stalking, harassment and threatening behaviour",107.0
256,31 Admin/professional,A80 Dangerous and negligent acts endangering people,15.0
257,31 Admin/professional,B10 Arson,20.0
258,31 Admin/professional,B20 Property damage,521.0
259,31 Admin/professional,B30 Burglary/Break and enter,868.0
260,31 Admin/professional,B40 Theft,700.0
261,31 Admin/professional,B50 Deception,397.0
262,31 Admin/professional,C10 Drug dealing and trafficking,11.0
263,31 Admin/professional,C20 Cultivate or manufacture drugs,1.0
264,31 Admin/professional,C30 Drug use and possession,17.0
265,31 Admin/professional,D10 Weapons and explosives offences,19.0
266,31 Admin/professional,D20 Disorderly and offensive conduct,9.0
267,31 Admin/professional,D30 Public nuisance offences,27.0
268,31 Admin/professional,D40 Public security offences,2.0
269,31 Admin/professional,E10 Justice procedures,8.0
270,31 Admin/professional,E20 Breaches of orders,113.0
271,31 Admin/professional,F10 Regulatory driving offences,1.0
272,31 Admin/professional,F30 Other government regulatory offences,1.0
273,31 Admin/professional,F90 Miscellaneous offences,14.0
274,31 Admin/professional,Other crimes against the person,41.0
275,32 Financial,A20 Assault and related offences,63.0
276,32 Financial,A50 Robbery,14.0
277,32 Financial,"A70 Stalking, harassment and threatening behaviour",5.0
278,32 Financial,A80 Dangerous and negligent acts endangering people,2.0
279,32 Financial,B10 Arson,4.0
280,32 Financial,B20 Property damage,89.0
281,32 Financial,B30 Burglary/Break and enter,16.0
282,32 Financial,B40 Theft,120.0
283,32 Financial,B50 Deception,628.0
284,32 Financial,C10 Drug dealing and trafficking,1.0
285,32 Financial,C20 Cultivate or manufacture drugs,1.0
286,32 Financial,C30 Drug use and possession,3.0
287,32 Financial,D10 Weapons and explosives offences,5.0
288,32 Financial,D20 Disorderly and offensive conduct,12.0
289,32 Financial,D30 Public nuisance offences,5.0
290,32 Financial,E10 Justice procedures,5.0
291,32 Financial,E20 Breaches of orders,22.0
292,32 Financial,F90 Miscellaneous offences,4.0
293,32 Financial,Other crimes against the person,6.0
294,33 Retail,A20 Assault and related offences,3048.0
295,33 Retail,A50 Robbery,285.0
296,33 Retail,"A70 Stalking, harassment and threatening behaviour",326.0
297,33 Retail,A80 Dangerous and negligent acts endangering people,179.0
298,33 Retail,B10 Arson,62.0
299,33 Retail,B20 Property damage,2574.0
300,33 Retail,B30 Burglary/Break and enter,3123.0
301,33 Retail,B40 Theft,23225.0
302,33 Retail,B50 Deception,8854.0
303,33 Retail,C10 Drug dealing and trafficking,140.0
304,33 Retail,C20 Cultivate or manufacture drugs,31.0
305,33 Retail,C30 Drug use and possession,575.0
306,33 Retail,C90 Other drug offences,2.0
307,33 Retail,D10 Weapons and explosives offences,612.0
308,33 Retail,D20 Disorderly and offensive conduct,575.0
309,33 Retail,D30 Public nuisance offences,131.0
310,33 Retail,E10 Justice procedures,269.0
311,33 Retail,E20 Breaches of orders,3804.0
312,33 Retail,F20 Transport regulation offences,2.0
313,33 Retail,F30 Other government regulatory offences,35.0
314,33 Retail,F90 Miscellaneous offences,1381.0
315,33 Retail,Other crimes against the person,269.0
316,34 Wholesale,A20 Assault and related offences,9.0
317,34 Wholesale,A80 Dangerous and negligent acts endangering people,2.0
318,34 Wholesale,B10 Arson,2.0
319,34 Wholesale,B20 Property damage,12.0
320,34 Wholesale,B30 Burglary/Break and enter,53.0
321,34 Wholesale,B40 Theft,100.0
322,34 Wholesale,B50 Deception,33.0
323,34 Wholesale,D10 Weapons and explosives offences,2.0
324,34 Wholesale,D20 Disorderly and offensive conduct,1.0
325,34 Wholesale,D30 Public nuisance offences,3.0
326,34 Wholesale,E20 Breaches of orders,14.0
327,34 Wholesale,F90 Miscellaneous offences,2.0
328,35 Warehousing/storage,A20 Assault and related offences,48.0
329,35 Warehousing/storage,A50 Robbery,2.0
330,35 Warehousing/storage,"A70 Stalking, harassment and threatening behaviour",9.0
331,35 Warehousing/storage,A80 Dangerous and negligent acts endangering people,3.0
332,35 Warehousing/storage,B10 Arson,4.0
333,35 Warehousing/storage,B20 Property damage,154.0
334,35 Warehousing/storage,B30 Burglary/Break and enter,612.0
335,35 Warehousing/storage,B40 Theft,586.0
336,35 Warehousing/storage,B50 Deception,71.0
337,35 Warehousing/storage,C10 Drug dealing and trafficking,8.0
338,35 Warehousing/storage,C20 Cultivate or manufacture drugs,5.0
339,35 Warehousing/storage,C30 Drug use and possession,14.0
340,35 Warehousing/storage,D10 Weapons and explosives offences,22.0
341,35 Warehousing/storage,D20 Disorderly and offensive conduct,2.0
342,35 Warehousing/storage,D30 Public nuisance offences,21.0
343,35 Warehousing/storage,E10 Justice procedures,7.0
344,35 Warehousing/storage,E20 Breaches of orders,40.0
345,35 Warehousing/storage,F20 Transport regulation offences,1.0
346,35 Warehousing/storage,F90 Miscellaneous offences,12.0
347,35 Warehousing/storage,Other crimes against the person,6.0
348,36 Manufacturing,A20 Assault and related offences,122.0
349,36 Manufacturing,A50 Robbery,3.0
350,36 Manufacturing,"A70 Stalking, harassment and threatening behaviour",18.0
351,36 Manufacturing,A80 Dangerous and negligent acts endangering people,2.0
352,36 Manufacturing,B10 Arson,19.0
353,36 Manufacturing,B20 Property damage,268.0
354,36 Manufacturing,B30 Burglary/Break and enter,672.0
355,36 Manufacturing,B40 Theft,801.0
356,36 Manufacturing,B50 Deception,91.0
357,36 Manufacturing,C10 Drug dealing and trafficking,22.0
358,36 Manufacturing,C20 Cultivate or manufacture drugs,16.0
359,36 Manufacturing,C30 Drug use and possession,17.0
360,36 Manufacturing,D10 Weapons and explosives offences,25.0
361,36 Manufacturing,D20 Disorderly and offensive conduct,7.0
362,36 Manufacturing,D30 Public nuisance offences,28.0
363,36 Manufacturing,D40 Public security offences,1.0
364,36 Manufacturing,E10 Justice procedures,11.0
365,36 Manufacturing,E20 Breaches of orders,57.0
366,36 Manufacturing,F90 Miscellaneous offences,17.0
367,36 Manufacturing,Other crimes against the person,26.0
368,37 Agricultural,A20 Assault and related offences,44.0
369,37 Agricultural,A50 Robbery,1.0
370,37 Agricultural,"A70 Stalking, harassment and threatening behaviour",4.0
371,37 Agricultural,A80 Dangerous and negligent acts endangering people,13.0
372,37 Agricultural,B10 Arson,62.0
373,37 Agricultural,B20 Property damage,194.0
374,37 Agricultural,B30 Burglary/Break and enter,172.0
375,37 Agricultural,B40 Theft,703.0
376,37 Agricultural,B50 Deception,20.0
377,37 Agricultural,C10 Drug dealing and trafficking,1.0
378,37 Agricultural,C20 Cultivate or manufacture drugs,1.0
379,37 Agricultural,C30 Drug use and possession,6.0
380,37 Agricultural,D10 Weapons and explosives offences,29.0
381,37 Agricultural,D20 Disorderly and offensive conduct,1.0
382,37 Agricultural,D30 Public nuisance offences,33.0
383,37 Agricultural,E10 Justice procedures,8.0
384,37 Agricultural,E20 Breaches of orders,31.0
385,37 Agricultural,F90 Miscellaneous offences,45.0
386,37 Agricultural,Other crimes against the person,15.0
387,38 Recreational,A20 Assault and related offences,740.0
388,38 Recreational,A50 Robbery,40.0
389,38 Recreational,"A70 Stalking, harassment and threatening behaviour",50.0
390,38 Recreational,A80 Dangerous and negligent acts endangering people,38.0
391,38 Recreational,B10 Arson,26.0
392,38 Recreational,B20 Property damage,647.0
393,38 Recreational,B30 Burglary/Break and enter,826.0
394,38 Recreational,B40 Theft,2543.0
395,38 Recreational,B50 Deception,306.0
396,38 Recreational,B60 Bribery,1.0
397,38 Recreational,C10 Drug dealing and trafficking,24.0
398,38 Recreational,C20 Cultivate or manufacture drugs,7.0
399,38 Recreational,C30 Drug use and possession,183.0
400,38 Recreational,C90 Other drug offences,12.0
401,38 Recreational,D10 Weapons and explosives offences,95.0
402,38 Recreational,D20 Disorderly and offensive conduct,289.0
403,38 Recreational,D30 Public nuisance offences,43.0
404,38 Recreational,E10 Justice procedures,44.0
405,38 Recreational,E20 Breaches of orders,450.0
406,38 Recreational,F20 Transport regulation offences,5.0
407,38 Recreational,F30 Other government regulatory offences,13.0
408,38 Recreational,F90 Miscellaneous offences,179.0
