Row Labels,Alpine,Ararat,Ballarat,Banyule,Bass,Baw,Bayside,Benalla,Boroondara,Brimbank,Campaspe,Cardinia,Casey,Central,Colac-Otway,Corangamite,Darebin,East,Frankston,Gannawarra,Glen,Glenelg,Golden,Greater,Greater,Greater,Greater,Hepburn,Hobsons,Horsham,Hume,Indigo,Interstate,Kingston,Knox,Latrobe,Loddon,Macedon,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee,Moorabool,Moreland,Mornington,Mount,Moyne,Murrindindi,Nillumbik,Northern,Overseas,Port,Pyrenees,Queenscliffe,South,Southern,Stonnington,Strathbogie,Surf,Swan,Unknown,Wangaratta,Warrnambool,Wellington,West,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra,Yarriambiack,Grand Total
21/03/20,0,0,1,1,0,0,2,0,2,1,0,0,3,0,0,0,2,0,0,1,3,0,0,0,2,3,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,3,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,46
22/03/20,0,0,1,2,1,2,4,0,3,2,0,0,0,0,0,0,0,1,4,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,2,1,0,2,9,1,0,0,2,0,2,4,0,0,0,0,7,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,73
23/03/20,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,4,0,4,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,1,0,1,0,2,1,2,0,0,1,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,56
24/03/20,0,0,1,4,0,1,0,0,7,3,1,1,3,0,0,0,2,1,2,0,1,0,0,0,0,4,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,2,4,0,4,6,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,64
25/03/20,0,0,0,4,0,0,0,0,1,1,0,0,3,0,0,1,1,0,3,0,3,0,0,1,0,7,1,0,2,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,5,1,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2,1,0,58
26/03/20,0,0,0,5,1,1,0,0,1,0,0,0,4,0,0,0,6,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,2,2,1,0,0,3,2,0,3,0,0,1,0,1,0,0,0,0,0,1,1,0,1,3,0,1,0,0,0,54
27/03/20,0,0,1,3,0,1,0,0,5,3,0,2,4,0,1,0,4,0,2,0,4,0,0,1,3,9,0,1,0,1,2,0,0,4,2,2,0,1,0,0,0,0,3,0,1,0,3,5,6,0,4,4,0,0,0,2,0,0,1,0,0,0,0,6,1,0,0,0,0,0,1,0,1,2,1,3,5,1,0,106
28/03/20,0,0,0,5,0,0,2,2,6,1,0,0,1,0,0,0,3,0,4,0,3,0,0,4,2,4,0,0,1,0,2,0,0,5,3,0,0,0,0,1,1,2,1,2,0,0,0,1,1,0,2,1,1,0,0,1,1,0,5,0,0,0,0,3,0,0,1,0,1,0,2,0,1,0,0,1,1,0,0,78
29/03/20,0,0,0,5,0,0,0,0,3,4,0,0,2,0,0,0,2,0,2,0,2,0,0,1,1,0,3,0,0,0,0,0,1,0,1,0,1,1,2,0,1,1,1,0,0,0,1,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0,3,1,0,54
30/03/20,0,1,1,8,0,0,1,0,4,2,0,0,1,0,0,0,1,0,5,0,1,0,0,1,0,5,1,0,0,1,7,0,0,1,1,0,0,1,3,0,1,0,2,3,0,1,1,6,3,0,6,2,0,0,0,1,0,0,1,0,0,0,0,4,1,1,1,0,0,0,1,0,1,0,0,3,2,1,0,88
31/03/20,0,0,0,7,0,0,2,1,3,3,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,3,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,3,1,0,1,0,5,4,0,2,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,58
1/04/20,0,0,1,3,0,0,2,0,7,2,0,1,1,1,0,0,2,0,1,0,2,0,0,0,2,4,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,1,2,0,1,0,2,0,0,2,1,0,0,0,3,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,6,1,0,0,2,0,0,63
2/04/20,0,0,0,10,0,0,0,0,2,0,1,1,5,0,0,0,1,0,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,0,0,1,0,5,2,0,3,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,59
3/04/20,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22
